Pet Name,Pet Type,Pet Age,Pet Sex,Pet Size,Pet Shelter,Pet City,Pet State
Madison Bell,Domestic Shorthair,Young,Female,,Best Friends New York,New York City,New York
Margret,Domestic Shorthair,Adult,Female,,Best Friends New York,New York City,New York
Hubert,Domestic Shorthair,Young,Male,,Best Friends New York,New York City,New York
Honey Bun,Domestic Shorthair,Adult,Male,,Best Friends New York,New York City,New York
Maia,Domestic Shorthair,Adult,Female,,Best Friends New York,New York City,New York
Ari,Domestic Shorthair,Adult,Female,,Best Friends New York,New York City,New York
Ana,Domestic Shorthair,Adult,Female,,Best Friends New York,New York City,New York
Shayleigh,Domestic Shorthair,Senior,Female,,Best Friends New York,New York City,New York
Crystal,Domestic Mediumhair,Kitten,Female,,Best Friends New York,New York City,New York
Dorothy,Domestic Shorthair,Kitten,Female,,Best Friends New York,New York City,New York
Lucky Charm,Domestic Shorthair,Adult,Female,,Best Friends New York,New York City,New York
Tara,Domestic Shorthair,Kitten,Female,,Best Friends New York,New York City,New York
Panther,Domestic Shorthair,Kitten,Male,,Best Friends New York,New York City,New York
Brassie,Domestic Shorthair,Young,Female,,Best Friends New York,New York City,New York
Skylar,Domestic Shorthair,Young,Female,,Best Friends New York,New York City,New York
Chrome,Domestic Shorthair,Senior,Male,,Best Friends New York,New York City,New York
Pollo,Domestic Shorthair,Young,Male,,Best Friends New York,New York City,New York
Custard,Domestic Shorthair,Adult,Female,,Best Friends New York,New York City,New York
Versailles,Domestic Shorthair,Adult,Female,,Best Friends New York,New York City,New York
Hawaii,Domestic Shorthair,Adult,Female,,Best Friends New York,New York City,New York
Tang,Domestic Shorthair,Senior,Male,,Best Friends New York,New York City,New York
Duke,Domestic Shorthair,Adult,Male,,Best Friends New York,New York City,New York
Saget,Domestic Shorthair,Adult,Male,,Best Friends New York,New York City,New York
Cammie,Calico,Kitten,Female,,Cressie Animal Refuge and Enrichment (CARE) New York Chapter,New York City,New York
Reese,Domestic Shorthair,Senior,Female,,Best Friends New York,New York City,New York
Beaumont,American Shorthair,Adult,Female,,Best Friends New York,New York City,New York
Valerie,Domestic Shorthair,Senior,Female,,Best Friends New York,New York City,New York
Nanas,Domestic Shorthair,Adult,Female,,Best Friends New York,New York City,New York
Arya,Domestic Shorthair,Adult,Female,,Best Friends New York,New York City,New York
Heaven,Domestic Shorthair,Senior,Male,,Best Friends New York,New York City,New York
Maximillion,Domestic Mediumhair,Adult,Male,,Best Friends New York,New York City,New York
Mamacita,Domestic Shorthair,Adult,Female,,Best Friends New York,New York City,New York
Pinkie,Domestic Shorthair,Senior,Male,,Best Friends New York,New York City,New York
Penni,Domestic Shorthair,Adult,Female,,Best Friends New York,New York City,New York
Titi Morales,Domestic Shorthair,Senior,Female,,Best Friends New York,New York City,New York
Poseidon,Domestic Mediumhair,Senior,Male,,Best Friends New York,New York City,New York
Chu Chu,Domestic Mediumhair,Young,Female,,KittyKind,New York City,New York
Ziggy Couresy Post,Domestic Shorthair,Young,Male,,KittyKind,New York City,New York
Victor,Domestic Shorthair,Young,Male,,KittyKind,New York City,New York
Patience,Domestic Mediumhair,Adult,Female,,KittyKind,New York City,New York
Louis aka Louie,Domestic Shorthair,Kitten,Male,,KittyKind,New York City,New York
Betty,Domestic Shorthair,Kitten,Female,,KittyKind,New York City,New York
Maxamillion,Domestic Shorthair,Senior,Male,,KittyKind,New York City,New York
Octavius,Domestic Shorthair,Kitten,Male,,KittyKind,New York City,New York
Mortie,Domestic Shorthair,Kitten,Male,,KittyKind,New York City,New York
Lady Emmaline,Domestic Shorthair,Young,Female,,KittyKind,New York City,New York
Poe,Domestic Shorthair,Young,Male,,KittyKind,New York City,New York
Sonny Courtesy Post,Domestic Shorthair,Kitten,Male,,KittyKind,New York City,New York
Lila Courtesy Post,Domestic Shorthair,Kitten,Female,,KittyKind,New York City,New York
Lancelot Courtesy Post,Domestic Shorthair,Adult,Male,,KittyKind,New York City,New York
